id,det_A,rank_F2_A,v2_detA
1346,149776,5,4
1347,8280,5,3
1348,-146604,6,2
1349,37504,6,7
1350,384,5,7
1351,143800,5,3
1352,6076,6,2
1353,-85848,6,3
1354,13512,5,3
1355,-6240,5,5
1356,-57088,4,8
1357,-28152,6,3
1358,9268,6,2
1359,7840,5,5
1360,196080,5,4
1361,-85472,6,5
1362,-69080,6,3
1363,-3456,5,7
1364,-38280,5,3
1365,-15600,5,4
1366,98016,5,5
1367,-21792,5,5
1368,1952,5,5
1369,-18480,5,4
1370,-12416,4,7
1371,-5952,5,6
1372,-72032,4,5
1373,41600,5,7
1374,-107520,4,10
1375,24452,6,2
1376,8776,6,3
1377,42060,6,2
1378,-8224,5,5
1379,-79632,6,4
1380,-40532,6,2
1381,79368,6,3
1382,25120,6,5
1383,13400,5,3
1384,-9008,5,4
1385,18720,6,5
1386,-1440,4,5
1387,-178128,5,4
1388,106224,5,4
1389,3520,5,6
1390,-756,6,2
1391,0,4,inf
1392,9524,6,2
1393,-3584,5,9
1394,-87652,6,2
1395,-5020,6,2
1396,17592,5,3
1397,-50256,6,4
1398,114808,6,3
1399,-33952,5,5
1400,-175872,4,8
1401,9344,4,7
1402,-5980,6,2
1403,-15296,5,6
1404,-2912,6,5
1405,27576,6,3
1406,-18484,6,2
1407,-99072,5,8
1408,12960,6,5
1409,-9160,6,3
1410,-20768,5,5
1411,-1712,5,4
1412,6336,5,6
1413,35264,5,6
1414,-58544,5,4
1415,13392,6,4
1416,-38176,5,5
1417,-80340,6,2
1418,-14688,5,5
1419,65312,5,5
1420,-28992,5,6
1421,2896,6,4
